ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q26,Q1,Q2,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q11_1,Q15_1,Q17_1,Q19_1,Q21_1,Q23_1,Q25_1,Q27_1,Q29_1,Q31_1,Q33_1,Q35_1,Q37_1,Q39_1,Q41_1,Q28,Q25
Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is the highest degree of education you have completed?,Practical Experience?,Type of Organization you currently work in?,To what extent do you agree or disagree with the following? - The decisions I made reflected my preferences and goals.,To what extent do you agree or disagree with the following? - I will use Envision in the future if the opportunity arises.,To what extent do you agree or disagree with the following? - I would recommend Envision to a friend.,To what extent do you agree or disagree with the following? - Envision has increased my awareness of sustainable benefits.,To what extent do you agree or disagree with the following? - I mainly choose credits that enhance quality of life (health/wellbeing).,To what extent do you agree or disagree with the following? - I mainly choose credits that reduce project costs.,To what extent do you agree or disagree with the following? - Environmentally-related credits are just as important as financial and social benefits.,To what extent do you agree or disagree with the following? - High initial cost is still a barrier to sustainable construction.,"To what extent do you agree or disagree with the following? - Sustainability is equal parts about the environment, community wellbeing and finances.","In your opinion, rank the following barriers to sustainable construction (highest item at the top). - Lack of environmental prioritization among stakeholders","In your opinion, rank the following barriers to sustainable construction (highest item at the top). - High initial cost to construct","In your opinion, rank the following barriers to sustainable construction (highest item at the top). - Lack of sustainability awareness among the project team",Q11 - 1. We are approaching the limit of the number of people the Earth can support.,Q15 - 2. Humans have the right to modify the natural environment to suit their needs.,"Q17 - 3. When humans interfere with nature, it often produces disastrous consequences.",Q19 - 4. Human ingenuity will insure that we do not make the Earth unlivable.,Q21 - 5. Humans are seriously abusing the environment.,Q23 - 6. The Earth has plenty of natural resources if we just learn how to develop them.,Q25 - 7. Plants and animals have as much right as humans to exist.,Q27 - 8. The balance of nature is strong enough to cope with the impacts of modern industrial nations.,"Q29 - 9. Despite our special abilities, humans are still subject to the laws of nature.",Q31 - 10. The so-called “ecological crisis” facing humankind has been greatly exaggerated.,Q33 - 11. The Earth is like a spaceship with very limited room and resources.,Q35 - 12. Humans were meant to rule over the rest of nature.,Q37 - 13. The balance of nature is very delicate and easily upset.,Q39 - 14. Humans will eventually learn enough about how nature works to be able to control it.,"Q41 - 15. If things continue on their present course, we will soon experience a major ecological catastrophe.","What was the most interesting
takeaway in this experience?",Name:
"{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID25_TEXT""}"
R_28SvwNYFLP8ZHSb,,,,,37.10350037,-80.42070007,anonymous,EN,Bachelor’s degree,Over 10 years,Designer,2,4,4,4,3,3,3,4,3,2,1,3,2 (disagree),3 (unsure),3 (unsure),4 (agree),2 (disagree),4 (agree),4 (agree),4 (agree),4 (agree),4 (agree),2 (disagree),5 (strongly agree),2 (disagree),2 (disagree),2 (disagree),Envision,Dennis
R_1Qg9bZJl6c7ezYa,,,,,37.17909241,-80.35150146,anonymous,EN,Master’s degree,Less than 5 years,Academic Institution,5 (Very much),2,5 (Very much),5 (Very much),3,1 (Not at all),5 (Very much),5 (Very much),5 (Very much),2,1,3,3 (unsure),1 (strongly disagree),5 (strongly agree),4 (agree),4 (agree),4 (agree),4 (agree),2 (disagree),4 (agree),1 (strongly disagree),4 (agree),2 (disagree),4 (agree),3 (unsure),4 (agree),The fact that envision can be used for things other than buildings and is based around practices,Katelyn Kast
R_1Idgj9S1wxlE1rR,,,,,37.17909241,-80.35150146,anonymous,EN,Bachelor’s degree,Over 10 years,Academic Institution,3,2,2,3,3,4,3,4,3,2,1,3,3 (unsure),4 (agree),3 (unsure),2 (disagree),3 (unsure),2 (disagree),3 (unsure),2 (disagree),4 (agree),4 (agree),4 (agree),3 (unsure),4 (agree),4 (agree),3 (unsure),in depth description,Mike Dunn
R_1i4Jh7gFAPTkD6q,,,,,37.17909241,-80.35150146,anonymous,EN,Bachelor’s degree,Over 10 years,Supplier,4,3,3,4,4,4,3,5 (Very much),5 (Very much),3,1,2,2 (disagree),2 (disagree),4 (agree),4 (agree),5 (strongly agree),5 (strongly agree),2 (disagree),2 (disagree),5 (strongly agree),4 (agree),3 (unsure),5 (strongly agree),4 (agree),1 (strongly disagree),2 (disagree),The aspects of encouraging thought,Ted Acord
R_1QhhgEmpmv2B0PE,,,,,34.7756958,-82.37770081,anonymous,EN,Bachelor’s degree,5-10 years,Designer,5 (Very much),4,4,4,4,2,3,4,4,1,2,3,4 (agree),2 (disagree),4 (agree),4 (agree),2 (disagree),4 (agree),4 (agree),2 (disagree),4 (agree),2 (disagree),4 (agree),4 (agree),4 (agree),4 (agree),4 (agree),Envision approaches sustainable design from a different perspective from LEED,jason webb
R_1I4tQjkP3g42FAg,,,,,34.7756958,-82.37770081,anonymous,EN,Master’s degree,5-10 years,Designer,5 (Very much),4,4,4,2,2,3,2,4,3,1,2,5 (strongly agree),4 (agree),1 (strongly disagree),4 (agree),4 (agree),4 (agree),4 (agree),2 (disagree),4 (agree),3 (unsure),3 (unsure),2 (disagree),4 (agree),1 (strongly disagree),5 (strongly agree),learning about the credits and how to assess point values ,nathan
R_2Sf3CJmiBNIH5MI,,,,,34.7756958,-82.37770081,anonymous,EN,Master’s degree,Less than 5 years,Designer,4,4,4,5 (Very much),4,5 (Very much),4,4,4,3,2,1,5 (strongly agree),4 (agree),4 (agree),4 (agree),4 (agree),4 (agree),5 (strongly agree),2 (disagree),5 (strongly agree),1 (strongly disagree),4 (agree),4 (agree),4 (agree),2 (disagree),4 (agree),Going through the case study helped me see how envision is used,sam
R_31L6TAA1VLxVk7d,,,,,34.7756958,-82.37770081,anonymous,EN,Bachelor’s degree,Less than 5 years,Designer,5 (Very much),4,5 (Very much),4,4,3,3,4,3,3,2,1,2 (disagree),4 (agree),2 (disagree),5 (strongly agree),2 (disagree),4 (agree),4 (agree),2 (disagree),2 (disagree),3 (unsure),3 (unsure),4 (agree),3 (unsure),4 (agree),3 (unsure),"Envision provides benefits to clients, owners, community ",ryan wells
