id,total_time,QL1_2_inc,QL1_2_loa,QL1_2_exp,QL2_3_inc,QL2_3_loa,QL2_3_exp,QL3_2_inc,QL3_2_loa,QL3_2_exp,QL3_3_inc,QL3_3_loa,QL3_3_exp,NW1_2_inc,NW1_2_loa,NW1_2_exp,QL2_5_inc,QL2_5_exp,NW2_3_inc,NW2_3_loa,NW2_3_exp,NW3_4_inc,NW3_4_loa,NW3_4_exp,CR1_1_inc,CR1_1_loa,CR1_1_exp,CR2_2_inc,CR2_2_loa,CR2_2_exp,engineer_id,QL2_5_loa,CR1_1_cost,CR2_2_cost,NW1_2_cost,NW2_3_cost,NW3_4_cost,QL1_2_cost,QL2_3_cost,QL2_5_cost,QL3_2_cost,QL3_3_cost
188,5505,0,13,"The project creates new jobs available for people in community since they have a high motivation to conserve and develop the area. This projects provide a place for them that supports productivity and sustainability in economic growth. With the existence of new, recreational opportunities, people in community would have a better place and a job to provide satisfaction in a productive lifestyle that will work together to contribute in the development of the community.",0,8,"The community needs an efficient ways of transportation away from motorized transportations that lead to pollution.Supporting walking and biking is significant for health in the community because it will benefit people health and also prevents disruptive and  polluted motorized transportation. The project addresses a way to rehabilitate pathways, bikes-lanes,  and water models. Moreover, the plan reduces the number of parking lots for motorized vehicles to encourage the use of public and non-motorized transportation. It also designs good paths for walking across a community park and biking lanes around the whole city to ensure a better life in terms of transportation use that fosters healthy community.",0,11,"The new plan respects the community values and takes into account their perspectives, needs and concern because the overall purpose of this project is to make the community a better place for its members to live. However, it the same time project members carefully examines these proposed plans and tries to asset them. For instance, members of the project tries to communicate with members of the community to make sure a specific plan to enhance their place is not going to negatively impact their values, ethics and beliefs. A satisfied community will be productive, collaborative and more willing to help us developing and restoring their area. They have a better knowledge and experience in their own place. ",0,13,"The plans ensure a n overall net benefit for community members to ensure developing public spaces that meets the standards of moderately high-quality life. Public education facility will increase awareness, productivity, knowledge and it will enhance the community awareness towards the environment. Athletic fields, areas to study, parks to increase beauty and encourage walking are important to form a livable community.",0,14,"Providing buffer zones and complete protection of water bodies and natural elements is significant to ensure an effective plan for long-term. To prevent the damage from natural disasters, this plan can provide a safe community for the upcoming generations.",0,"",0,18,"The projects intends to incorporate and employ the use of monitoring water systems in order prevent surface and groundwater contamination. Water is valuable resource for life, and it is becoming a world issue. It is important to simulate education systems that prepare students in the community to work hard to keep their water safe and clean by improving projects that improve the quality of monitoring systems.",0,19,"The project maintains four ecosystem functions in the community by improving hydrologic cycle connection for streams, water quality from monitoring systems, supporting a habitat for aquatic and riparian species, and restoring sediment transport. The ecosystem is intended to maintain biological life and processes to provide community with clean and sustainable water resource.",0,25,"The plan takes into account the importance of conserving a clean environment. The emissions of carbon dioxide are managed and reduced to 100% reduction. The use of renewable and sustainable energy is supported by encouraging the use of non-motorized transportation and increasing community's awareness of the risks associated with emissions of gasses. Using filters to prevent dioxide to reach the environment, and fostering the use of environmentally-friendly methods are two main ways to approach this criteria. As a result, this will minimize the costs of cleaning pollution and reducing number of people with diseases that related to the emission of these gases. ",0,12,"The project intends to create and enhance an understanding of the long-term risks, so that future plans are expected to deal with this problem of risks more in depth. The main focus now is to ensure the quality of sustainable, productive and livable community. ",288,15,-1,-2,2,1,0,1,0,0,-2,2
189,3228,0,2,"Trails will be added to the park.  Trails need to be build and then upkept, which requires labor.  Additionally, having trails will increase the sales of the food and outdoor equipment stores in town, also trails may attract people from other towns to come to this town, increasing the sales of the restaurants in town and potentially create new jobs",0,4,All of the trails in the park will be bike-friendly.  All of the different sites in the park will be connected by the trails. The only parking will be at the main entrance to the park and will have a fee to discourage driving to the park.  We will work with the local government to ensure that there is a walking/biking trail that run from the town to the park so that residents of the town can avoid driving.,0,14,"The site is a brownfield site, so there is room for improvement.  The community is consulted and ask what the land looked like before it was destroyed.  Using this input, the land is cleaned and the certain views are rebuilt.  Specific locations such at the viewing mound include paths but otherwise leave the land in its neutral state.",0,11,The community and water regulatory institutions were contacted.  We will rebuild trails and include a wildlife refuge which improve the livability.  A playground and water access for recreational activities are included to encourage people to participate in recreational activities at the park,0,14,"There will be a buffer of plants at that allow nothing to be closer than 300 ft of the water (except a path for public access).  No pollutants will be able to reach the body of water.  There will be restrictions about the kinds of things people can bring to the water (aka no motorized vehicles, certain beverages, no dumping)",0,"",0,18,The stream and the larger body of water will be monitored for levels of pollutants.  All of the structures in the park will have minimal pollutants that could leak to the ground.  Each structure and/or locations of the park will have plans in case of a leak. The brown land will be cleaned of pollutants. ,0,9,The park will maintain the stream habitat by removing any obstructions and by cleaning the brown land around the stream.  The flood plain water sources are restored back to normal.  Water quality will be monitored and maintained. ,0,18,The solar powered lights will make sure the lights do not require any extra energy.  Some of the energy may even be able to be sold back to the power grid on some days.  The walking/biking access will reduce the cars.  Solar panels will power all of the buildings in the park,0,20,The plants added to the park will be indigenous but also able to withstand changing temperatures.  The community and its government will be consulted to make sure that everything the park will need to keep running can be found in the town now and in the future. The potential risks of the infrastructure will be evaluated and there is a financial plan in place in case of emergency ,293,12,-1,-1,0,1,1,1,-1,0,1,1
190,237,0,16,"The mentioned steps taken help improve the existing infrastructure, and also beautify the area further. This favors the overall social, economic and general development of the region surrounding it. The city basically becomes a more popular place in all these terms and becomes the center of new businesses and industries.",0,11,"Traffic congestion is a very important problem in highly populated cities. This is overcome by introducing and encouraging other public modes of transport like pathways and bikeways, also improving their quality to make them more popular among the common public. These other modes of transport should also be made more convenient and easily available to people. ",0,14,"Landscaping plays a very important role in the overall development of a city. It is important to pay attention to the aesthetic appearance and appeal of a region. This is done by restoring views, and improving the public buildings. Proper maintenance of public spaces and demolishing dilapidated buildings are vital steps that need to be taken in this direction. ",0,13,"Any community or city can be improved greatly by improving its recreational areas, natural and green parts and educational public use facilities. Also taking care to minimize pollution and keep the environment clean and green make the area more favorable to live and allow further sustainable development in.",0,18,"Since the region given to us has wetlands and floodplains, the proper development and restorative measures to preserve such natural environments should be the focus of the sustainable development measures. Providing natural buffer zones and protecting the already existing vegetation are perfect ways to ensure work in this direction. ",0,"",0,18,"In addition to preserving the land resources and wetlands surrounding water bodies, it is essential to preserve and protect the water bodies and their vegetation themselves. This is done by preventing the discharge of harmful pollutants into these water bodies and cleaning up the existing pollutants to restore the pristine environment. ",0,19,"While the overall natural surroundings that encompass the land and water vegetation can be protected from harm, it is important to look at the two environments together as an ecosystem of living organisms and abiotic components which work together to maintain the balance of the natural environment. ",0,25,"The amount of air pollution can be significantly reduced by reducing the amount of greenhouse gas emissions. Also, a complete life-cycle carbon assessment in the region can be carried out to significantly reduce and monitor the amount of carbon emissions in the city. Encouraging the use of renewable energy can also help achieve this goal.",0,20,"In order for the long term development of the city to be achieved, the measure taken in this direction like documenting the potential traps and vulnerabilities  and their associated potential costs and risks helps improve the overall infrastructure of the area. This makes the community more resilient to any possible adverse situations in the future.  ",295,15,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
191,4019,0,2,"The project is given enhanced rating since the project enhances the capabilities of the left out space by making it into something productive for the general public. Since, there would be a community park, several jobs would be created since we would need janitors for public washrooms, gardeners to tend to the grass and flowers and various vendors such as a food vendor or a book vendor can set up shops in the place. ",0,8,"Since we are making a park and not exactly focussing on the transportation part, this point is not relevant to our project. ",0,14,"The project incorporates all the points discussed in the earlier paragraphs. In addition to that, the project will ultimately be able to promote a sense community by providing a safe place where people could meet and socialize. There would be minimum detrimental environmental impacts by the project and it would in fact promote to the overall wellness of its immediate neighbourhood. ",0,6,The project is meant to repair old spaces and renovate it to make it more productive. There would be cycle stands and food paths made for the use of the general public. Apart from that benches would be constructed for the people to sit on in the park. ,0,9,"The project will ensure the building of good water protection system to ensure that water is restored to the environment. In doing so, jobs will be generated as a need for designers, architects, engineers and laborers amongst many other professions arises.  ",1,"",0,1,The project will be able to filter the water coming from drains but it would be difficult to stop the water coming from the industries which the government needs to look after. ,0,3,"By the means of this project, aquatic life can be preserved because we are restoring wetlands, shorelines and water bodies which are a habitat for a lot of creatures. ",0,25,"The project rather than emitting more and more greenhouse gases is actually reducing their concentration in the very immediate environment. It is generating jobs in the process, since you need solar panels for the street lights and other technological stuff provided by different retailers. It is definitely going to help the environment and promotes a sense of community. It is providing business to a lot of small vendors and is restoring an old, previously useless place. ",1,0,"Since we are already decreasing the risks to the environment, there are hardly any chances of any long term losses. ",299,0,-2,-2,-1,0,0,0,-2,0,-1,-2
192,1841,0,16,"This project provides the community with a new jewel. The wetlands now serve as a place for activities like running, biking, and walking with family and friends. The service needed on the wetlands to sustain productivity provides jobs for the locals and attractiveness to businesses. Ducks were transferred to the wetlands to provide a more wealthy ecosystem.",0,11,"This project used methods of underproduction to promote physical activity and overall health. By providing one-hundred less spots than would have been used, people must find an alternative transportation method. This is where the bike lanes and  paths come into play. Increased bike usage will draw down traffic.",0,14,"This project helped improve the appearance and character of the community. By removing the old buildings, the views of the new wetlands was improved and people could now see their new sanctuary. The wetlands serve a purpose similar to that of a park, and now an area that was avoided is now used frequently.",0,13,"This project improved community livability by reducing pollutants from urban run-off to water sources. Trails, boardwalks, public use facilities like bathrooms, and educational public use facilities are essential to people wanting to come back. The business aspect requires that people appreciate the wetland to keep it clean and return.",0,18,This project focuses on the health of the environment which we invaded. The created marsh habitat serves to protect the environment in way which we don't have to act each day. The continued use of the wetlands depended on a change of location. This change of location provided an area which people would be more likely to return.,0,"",0,18,This project seeks to preserve and protect the water quality. This impermeable layer prevents water loss and infiltration into the former Brownfield site. A huge concern of a project like this involving so many elements rises the question of how will it affect our water? This project succeeded in preserving and protecting our water.,0,19,"The created marsh habitat will serve to restore the ecosystem and help it thrive. The diversion of storm water is a huge improvement that will play a huge role in maintaining the structure of the wetlands. Additionally, the ecosystems will benefit from avoiding the storm water's destructive capabilities.",0,25,The conversion from Light Industrial to an Open Space environment provides the team with an easier task in avoiding dangerous emissions. The Environment Impact Report measured that emissions would be reduced with the implementation of the new project in the Los Angeles Wetland Park. This satisfies the requirements for the Restorative rating.,0,20,"Sluice gates and end caps help to drive up productivity and cut down cost by dividing the wetland into three independent cells. This precautionary action allows for option of altering the state of one cell based on water levels and availability. This ensures the life of one or two cells, opposed to taking the risk that the whole wetland dries up.",300,15,-2,-1,-1,-2,-1,-1,-2,-2,-1,-1
193,5785,0,1,"This question primarily deals with the creation of jobs during the project and as a consequence of it, but also considers how the project will improve the overall appeal and socioeconomic health of the area.  Unfortunately, a park fails to create any sustainable jobs beyond those needed to build it and maintain it.  While it does improve the area and meet criteria A and D, it fails in the ways previously stated and thus fails B and C.  Therefore, it can only meet the category of improved.  Creation of a wild-life center could meet such requirements, but such a move may not be economical in comparison to its cost.         ",0,8,"The project meets requirement A as it is in close proximity to the main hub of town, allowing for easy access for locals.  The project meets part B as it provides a parking lot for people to use other modes of transportation.  Part C and D can be meet with the construction of quality walking and biking paths for people to use.  Part E can be meet if there is in fact public modes of transportation, but as none are mentioned in the plans, it can only be an assumption.  This part of the project with the creation of the pathway system would be of significant cost, so it would be advisable to meet criteria E or F if possible to perhaps receive additional public funding or support.",0,14,"It would be possible for the project team to meet the requirements of the the Restorative category, but it would be at significant cost and effort.  To meet such requirements, one would have to extensively work alongside the town to repair and protect the floodplain and wetland features.  It would also require working with the local government to draw up new ordnance protecting such features, a time-consuming ordeal.  ",0,13,"This question revolves around if the project improves the community through the establishment or restoration of public space with local agency approval.  It would be possible to completely restore the under-used park and brownfield, restoring both decrepit public area and converting developed private land to public land.   Creating athletic areas, walking trails, parks, and an amphitheater would drastically improve the public space.",0,9,"By establishing a 200 ft buffer while preserving the lands inside the buffer, it would be possible for the project to proceed as shown on the plans without significant disruption of the established plans of the amphitheater or parking areas.  It would be possible to gt a higher rating at increased cost and alteration of the plans, but this more comes down to budget and desire to change the size of other projects for the wetlands area.   ",0,"",0,18,"This one again falls to budget, as a complete monitoring and restoration of the area is possible.  The question revolves around the level of monitoring, cleanup ability, and prevention able to be undertaken.  By undertaking significant measures to protect and restore the flood lands, much of this is already done.  Cleaning up the brown zone will also significantly reduce the possibility of future water contamination.      ",0,9,"or this project, it would not be significantly difficult to meet at least three out of the four criteria, with the three being maintaining water quality, preventing loss of sediment, and maintaining habitats.  Connecting existing water systems would be more expensive and difficult, but taking proper precautions when dealing with the wet lands should allow the project to meet the three listed without significant cost.",0,7,"While a carbon assessment could be drawn up for this project, how a group could go about reducing such emissions is limited.  Rather then adjusting how a building is build or its emissions produced, much of the infrastructure being built are pathways and parking lots, leaving little room for improvement.  ",0,20,"For this project, it would likely be in the best interests of all parties involved for it to be in the restorative category.  The state of Alabama frequently deals with natural disasters such as hurricanes and tornadoes, and a project which is not prepared to counter or at least mitigate the damage of such an event could be completely undone by such an event.  It may be costly in the short run, but it would be even more costly to have to completely redo the project in the event of it being completely destroyed. ",305,6,0,2,1,2,1,0,-1,2,2,1
194,2712,0,16,"By rebuilding the area struck by the tornado with new businesses, economic growth could come about, which would offset the costs in the long run of making everything go green. This increased business sector, will increase the wealth of small business owners, and invite lots of tourists to their small town.(A B C D E)",0,11,"Due to everyhting being destroyed in main street, it would be best to make only walking paths, bike path, and single lane roads where if you wanted to park you have to pay at a meter, whereas if you park further away from main street, and walk you can successfully prevent further pollution from car runoff from going into the park's nature life. Also, if both main street and the park are very close together, nearly all transportation can be done by walking or biking.",0,3,"Since the physical community has been wrecked, it'll be much easier to work with the locals and the lawmakers to come up with a plan that reflects the values and characteristics of a particular town/city.  In this case, since the town is pretty small, my team can easily meet with everyone at town hall meetings.",0,13,"In the main street, the public space in improved with beautiful shrubbery and plants that also serve as a garden and buffer to car pollution. Whereas the park, has walking and biking paths rather than charged car paths to help cut down on more pollution problems. Also, with the plants surrounding the park and the main street, runoff pollution can be minimized. By preventing pollution, we can also save the local wildlife by making profitable animal viewing tours in nature.",0,14,"Create a buffer from the town and the park about 200 feet away if when researched thoroughly that a wetland exists near the site, which is highly unlikely in the fact that this is a tornado fearing land. However the road pollution run off will be monitored and regulated with heavy shrubbery and plants to help buffer the wildlife.",0,"",1,0,"I don't believe that water pollution is the main problem here, because the site is not very close to a water source, so only runoff from cars would possible affect the groundwater, if it is not filtered enough by the shrubs put into the aesthetics design.",1,0,"Again, since my group is not focused on wetlands, we don't need to worry about it, and the runoff water is being solved with the addition of plants.",0,7,"Since, the use of cars will still be allowed around the sites, emission can not be entirely diminished, however it can be reduced by having people pay for their cars every time they need to park.",0,20,"Since the sites are highly susceptible to tornado damage, it would be wise to build with materials that are either very cheap to replace, meaning they are not eco-friendly, or build with heartier materials that may cost a fortune at first, until all of the businesses can start raking in money. Therefore, it would be very important for the team to talk with the people and vote on what they want after several ideas are pitched.",306,15,-1,2,1,0,0,1,2,-1,0,2
195,5451,0,13,The rebuilt city will include new businesses right away with the hope that new business investors will be attracted to the area as well as tourists and local visitors. Families may also want to move to the area which will further increase business investment.,0,1,The project should include alternative means of transportation that helps reduce pollution while also encouraging business growth revolving around alternative transportation. Doing so may also preserve the pristine look of the surrounding area and park with the near lack of emmisions from motor vehicles.,0,14,The project should strive to maintain the identity of the surrounding area that was all but lost following the destructive tornado. Achieving this level of preserving local character would not cost the owner much money since the project should be like the local area anyways. There should also be some balance between preserving the culture and ensuring new growth.,0,11,"The main focus of the project should be to clean up the remaining destruction and any failed businesses and replace them with a vibrant new community that preserves the local environment and culture, and sets up the community to continue maintaining the public spaces and environment.",0,14,Measures should be taken to protect the local environment and ecosystem to prevent over-urbanization that destroys the local ecosystem. There also has to be additional measures taken to try to reduce the impact of future tornadoes such as setting a height limit for the buildings.,0,"",0,18,The local rivers that run right through the city as well as the river that runs along the east side of the city should be protected. The rivers provide a nice scenic view for visitors and residents of the city as well as serve as a source of water for those people. Major steps should be taken to prevent the water from being contaminated and polluted.,0,19,The local rivers that run right through the city as well as the river that runs along the east side of the city should be protected. The rivers provide a nice scenic view for visitors and residents of the city as well as serve as a source of water for those people. The ecosystems surrounding the rivers can be converted into parks and nature preservation regions.,0,13,"Using more public, alternative transportation methods should help reduce the carbon footprint left behind by car emissions. The costs associated with reducing the gas emissions, however, is not worth the relatively small usage reduction.",0,20,"This is the ultimate goal of all restoration projects, especially infrastructure rebuilding. Avoiding long-term costs is essential for successful projects to exist. Measures to reduce the impact of future tornadoes will play a major role in fulfilling this requirement. The other requirements will all help contribute to this one as well.",307,15,-1,-2,-2,2,2,-1,0,1,1,0
196,511,0,13,edwsccccccccccewioveeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0,4,jd  vwevejw  vejw;qaervnioqiobre'beinqbreknebranbripanbrnirdnabnprbnrenpabnrenibnndk;bn;nkbpdnrbpfndrnnfbdrbrednbfd;breibreipbrnnripnndvnsdnvsininibinerbnoeribneobbnrenrbneboreoonrenrebnoernboernbnreonirebnioernibremkkvdniernnbirenrenmrbeierninibernnirenreb,0,6,vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv,0,3,lllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll,0,14,dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,0,"",0,9,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0,19,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,0,25,cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj,0,6,dsvcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccjsdvi,308,12,1,0,1,1,1,-1,0,1,-2,1
197,4366,0,13,The park includes different strong infrastructure that could lure a lot of people from within and around the community to it and then which in return will attract investors. These investors will own businesses within the park to create more jobs and then bring in more money for the owner from rents.,0,4,"Transportation and ease of access is a very important factor in every business. The park will have as many means of transportation to it as can be afforded. A bike rack will be included to make it accessible to people who live nearby or can't afford cars. Also there is a parking lot to allow commuters to park their cars while in the park. finally, there will be a ferry just around the lake to bring people from the other side of the lake",0,14,The park will include a lot of vegetation because this will help give shade to park users. There will be a hand in hand relationship with the Environmental Protection Agency and all other public agencies to help regenerate and restore all lost vegetations in the most complying ways with the environmental laws and policies.,0,11,"The park has different recreational infrastructure on ground, which makes it conducive for users. An example will be the amphitheater, which serves as a side attraction. Then, a lot of natural attractions such as a pond which would have a section of it as a pool and also, the vegetation will also be an attraction.",0,4,"The park will have a 100 foot barrier restricting it from human effects to conserve nature. Although, it will have telescopes around it and also water will be channeled to a nearby pool for users.",0,"",0,18,"Since park is a natural attraction, water purity is a huge factor. There will be ph and other sensors around the park to help indicate pollution. There will be strict fines imposed on all forms of pollution. Also we would work hand in hand with the Environmental Protection agency, to help further prevent and be able to control a pollution outbreak.",1,0,"The park will have a pool for visitors with water from the lake, so this is not important.",0,25,"The park will run all of its infrastructures, lights etc on solar powered to ensure zero carbon creation. To further reduce the impact of carbon emission, there will be more parking space for bicycles and non carbon emitting means of transportation. Finally, the thick vegetation around the park will help reduce carbon in the atmosphere ",0,20,"Before construction begins on the park, all possible risks to the safety of the park will be reviewed and then discussed with community stake holders and public agencies to help avert and control in case of risks. There will be fire trucks on standby incase of a fire outbreak. Finally, the park will also have alternative plans to it incase of any changes in society or nature.",309,15,1,-2,0,1,-2,-2,0,1,1,-2
