id,total_time,QL1_2_inc,QL1_2_loa,QL1_2_exp,QL2_3_inc,QL2_3_loa,QL2_3_exp,QL3_2_inc,QL3_2_loa,QL3_2_exp,QL3_3_inc,QL3_3_loa,QL3_3_exp,NW1_2_inc,NW1_2_loa,NW1_2_exp,QL2_5_inc,QL2_5_exp,NW2_3_inc,NW2_3_loa,NW2_3_exp,NW3_4_inc,NW3_4_loa,NW3_4_exp,CR1_1_inc,CR1_1_loa,CR1_1_exp,CR2_2_inc,CR2_2_loa,CR2_2_exp,engineer_id,QL2_5_loa
12,6607,0,16,"This project could create significant number of new jobs during its design, construction, and operation. The completed project create new capacity or increase the quality of existing, operating, recreational or cultural capacity for business, industry, or the public.The completed project measurably improve community productivity, and also community attractiveness for compatible businesses and industries, improve recreational opportunities, and generally improve the socioeconomic conditions of the community. The project rehabilitate existing community infrastructure assets in the natural and built environment, and, in doing so, improve community prospects for sustainable economic growth and development.",0,11,The constructed works must locate within walking distance and  it should be pedestrian accessible to multi-modal transportation facilities. The constructed works and associated infrastructure must restrict the parking of motorized vehicles.,0,14,"The project team must make a reasonable determination of the local character of the project setting. They should develop or adopt existing public view plans and design guidelines to preserve important view sheds and local character. The final design should preserve views and local character, taking into account community plans and guidelines for views and local character. The project team must work with local officials, communities, and decision makers to obtain input and alignment with views and local character. The construction contract should include clauses on the preservation of high-value landscapes and landscape features, including stated penalties for noncompliance and programs to inspect outcomes and to enforce. The project team must aid local communities in developing or improving local policies and regulations regarding views and fit with local character.",0,6,"The project must add to public space (e.g., parks, plazas, recreational facilities, or accessible space in wildlife refuges) in a way that significantly enhances community livability.  The public agencies and other stakeholders must be satisfied with the project plans involving public space.",0,14,"The project must locate on a site that neither contains nor locate within the specified distance of vernal pools, wetlands, shorelines, or waterbodies, unless located on a previously developed site. If the site contains wetlands or waterbodies, the project must team establish a VSPZ to provide a natural zone unaffect by development that maintains a buffer equal to the specified distance.",0,"",0,18,"Adequate,responsive surface, groundwater quantity, and quality monitoring systems must be incorporated into the project design. Spill, leak prevention, response plans and designs should be incorporated into the design. The project team should reduce or eliminate potentially polluting substances from construction and operation of the completed project. The project team must sought to reduce future contamination by cleaning up areas of contamination and instituting land use controls to limit the introduction of future contamination sources.",0,19,"The project maintain or enhance hydrologic connection. The project maintain or enhance water quality,habitat and sediment transport. Also, the project maintain all four ecosystem functions and fully restore any disturbed functions. All four functions are maintained or enhanced and restored to have a fully functioning aquatic and riparian ecosystem.",0,25,"The project team should perform a life-cycle carbon assessment on the project using recognized and accepted methodologies, data sources, and software. The project team need to worke to design the project so that it reduces carbon emissions to meet the designated reduction compared to the emissions calculated in the life-cycle carbon assessment.",0,16,"The project team should identify and assess possible changes in key engineering design variables. The project team should assess potential traps and vulnerabilities and their associate potential costs and risks. The project must avoid, alleviate, or eliminate significant infrastructure traps .",14,6
13,7274,0,16,"This area in Cordova, AL, is being developed with a sustainability mindset. The wetlands and the stream are being restored, ensuring rebirth of the development, as well as the area is being designed to encourage residents, and tourists, to visit the Park, and the outdoors gathering center. There are also stores being developed around this region for making it more appealing for new businesses. ",0,11,"All kinds of public transportation access would be added to this region. Most importantly, bus stops and hybrid buses would be added for the outdoor gathering area and around the community park. Bike racks will also be installed, and a small bike/pedestrian trail would be added around the park for easier walk ability option.   ",0,14,"The project's main owner is the city of Cordova, so the character views of the people would be significantly taken into account in the development of this locality. A study would be performed to learn about what the local residents would most value in this locality, and accordingly the specifics for the outdoor activities area and around the Main Street would be considered.  ",0,13,"The main focus of this project is to restore the park, and add outdoor activities, for the local residents, and those visiting from other localities. It would, by all means, improve, enhance, and restore the open space area, essentially the community park. A small wooded area, for wildlife refuge, is also being added to the region. The stream and wetlands are also being restored. ",0,18,"A large buffer is being added to the region and the wetlands and the stream is being restored and repaired to add to the aesthetics, environment, and the overall appeal of the region to the local residents and the community.  A small wooded area is also being added for wildlife and vegetation protection zone. ",0,"",0,14,"There is very little impervious surface being added into the existing land. Most of the construction would include grassy area. The regions which will have impervious surfaces would be cleaned consistently to ensure limited contamination, and there are going to be manholes and other features to preventing contamination purposes. ",0,19,"The wetlands and the stream are being restored and repaired within this locality. Enhancing Water Quality would also be an important part of this project as the main focus is the community park, which would significantly assist in limiting surface contamination, and increase the groundwater available in the region. The wooded region would also preserve wildlife and their habitat. ",0,18,"Due to the main focus of the project being the community park, and with the addition of the wooded area, enough trees should be added in the region to allow for a carbon neural system, since it is possible that some of the outdoor activities region, including the stores and the restaurants, may release some levels of greenhouse gases, though they should be minimal. ",0,12,"A detailed study would be conducted of the potential risks, traps, and vulnerabilities of the development, with assistance from the city of Cordova. If any issues are prevalent, their solutions would be considered and acted upon if necessary. ",16,12
14,6124,0,16,"The project team transformed the previous under-used park and brownfield site into a community walking and outdoor gathering center. This improved community attractiveness provided a recreational facility to enhance the overall community. This will allow job growth, productivity, business attractiveness, and livability.",0,11,The project team included walking and bike paths as well as bike lanes and large sidewalks that can help handicape pedestrians. To encourage alternative transportation only 30 parking stalls were provided along with meter parking so people would have to pay to park so they would be more likely to go to different mode of transportation.,0,14,The project team decided to restore the under-used park to a landscaped public space for the community to enjoy and have a good view of the beautiful landscape. The old structures were demolished and removed for more space for walk ways and landscape. The landscape was maintained to the local character of the community and does not have negative impacts on community views.,0,13,"The project team repaired and the wetland and the steams, trials, boardwalks, and educational and public use facilities. The site also incorporates recyclable waste areas and compactable waste areas. It also minimizes discharge of pollutants from urban run-off to receiving waters and also is a non-smoking area.",0,18,"The project team has restored the wetlands and streams to allow for better protection with natural buffer zones, vegetation, and soil-protection zones. The site includes a floodplain and wetlands as part of the stream that were repaired and improvements were made to make them blend with the environment.",0,"",0,18,The project team designed for 100% collection of dry weather runoff from the regional storm drain network. All wetland area were lined with a primary geosynthetic clay liner to form a impermeable layer that 1.) prevents water loss from infiltration and 2.) prevents infiltration into the water table.,0,19,"The project team maintained and restored the ecosystem functions of streams, wetlands, and water bodies. The site includes a floodplain and wetlands as part of the stream that were maintained and restored. The project is designed to divert stormwater runoff from the the adjacent storm drain and uses the runoff as a resource to sustain the constructed wetland and its natural habitat.",0,25,"The project team resotred the under-used land as a land source for more activities. According to the project's Environmental Impact Report (EIR), green house gas (GHG) emissions would be reduced following all the implementation of the restoration. Carbon emissions would also be reduced to a factor of two.",0,20,"Using sluice gates and end caps for orficies, the wetland was broken into three cells allowing them to operate independently. This flexibility provides opportunity to reconfigure the wetland in the event that source water is reduced (i.e. consider converting one of the wetlands to park). These implementations would allow us to avoid traps and vulnerabilities.",17,15
15,1499,0,16,"Turn the green space created from the redevelopment of the brownfield into recreational fields that can have many uses. By creating these fields there will be opportunities to bring people to the area for sporting events, as well as create jobs with the maintenance and planning of the events. This decision will also increase business in the surrounding area due to an increase in traffic.",0,11,The redevelopment of the site and park will include the addition of new bike/walking trails. These trails will encompass the site and will provide easy access to each recreation field as well as the wooded area in the back of the site. Additional these trails will have the potential to link up with existing trails to cut back on the amount of cars and increase commuting to the park and fields. Bike racks will also be provided around the site. ,0,14,This project will take a brownfield that currently isn't in use and transform it into a community park that will become a major asset for the Cordova. By implementing this park and community fields the site will be better utilized and will help bring the community together while maintaining the local character of Cordova. ,0,13,The project team will develop a solution to the wetland issue and ensure that drainage is properly taken care of. The park will also increase livability due to it's proximity to main street which will encourage community engagement. The wooded area in the back of the site can serve educational and public use as well with the implementation of trails and shelters.,0,18,"The current wetlands will be properly addressed and any major issues that appear will be quickly fixed. The wetlands in the back of the site will also be utilized by building pathways around them and not harming them. Finally, protection zones will be implemented where required to ensure that all of the existing conditions are maintained. ",0,"",0,18,"To prevent contamination all runoff will be sent through the existing storm drain network and measures, such as liners, will be put in place to ensure water doesn't seep into unwanted areas. This aspect will be especially important for the recreation fields and will be emphasized when they are constructed to ensure water flows into the correct areas. ",0,19,The back of the site will fully meet this requirement by keeping its existing characteristics and being accessed by non-invasive walking and biking trails. By keeping this wetland the site will keep some of its natural integrity while being in such close proximity to main street the community of Cordova. ,0,25,"By converting the site from a brownfield to a park and wildlife refuge the site will greatly reduce greenhouse gas emissions. Through the implementation of this more trees and landscaping will also be included, further reducing greenhouse gas emissions. Finally, impact studies will be conducted to ensure all is being done to significantly reduce emissions. ",0,20,"When creating the wetland/wildlife refuge in the back of the site preventative measures will be taken to ensure that each part will be able to operate independently. This will allow changes to be made if a problem occurs in the future. Also, before constructing the athletic fields data will be gathered about its potential use to asses the demand.",20,15
16,5252,0,16,"It is important to work alongside the community of Cordova, AL in order to ensure that meaningful buildings to the community are restored in such a fashion that increases productivity. In addition, we would not only retain important structures, but restore them in an attractive manner. Through this project, processes will be put in place which help the local community further their understanding of sustainability and help their productivity in the process. This may even incorporate in a new cultural district for Cordova.",0,11,"Due to the fact that Cordova is a small town with what looks to be wide, pedestrian friendly streets, it is important to retain that feel and that function. In order to both restore and improve upon the existing sidewalks, unused or under-utilized walkways will be used and be incorporated into a town-wide system. This will ultimately run through the park. In addition, this will include bike paths in order to promote more sustainable options.",0,14,"As a smaller town with what looks to be a sense of ""quaint"" character, we shall work with the local government and people in order to see what natural views are best for them. Through the construction attempts will be made to either restore or maintain these features with one of them being the naturally wooded area at the back of the site. Not only does this help to encourage a community-centered feel, but it draws attention to natural landscapes.",0,13,"Enhancing public space is a large goal of this project and ultimately comes as a result of the community park. This park will help to increase the idea of a community-centered feel, while serving as a functional recreation area. In addition, the paths which are discussed in QL2.5 will help to restore existing pathways and promote connectivity and ease of access. ",0,9,"Based upon current practices, a 300 ft buffer was considered to be large for the site. A 200 ft buffer will be maintained for the site unless the state or local laws are more stringent. This buffer will help to encourage the protection of vegetation and soils as well as the wetlands.",0,"",0,18,"The team will fulfill this criteria through the remediation of the gas station. Monitoring stations will be placed at natural drainage areas in order to ensure clean drainage. Additionally, after all surface and subsurface contamination has been removed, a clay bed will be placed in order to reduce the amount of infiltration that will occur. Lastly, most surface runoff especially from the gas station will be rerouted to a designated plant bed for remediation of any pollutants.",0,19,"Through analysis by professionals, sediment and habitat surveys will be taken for the site. These will result in ultimate plans for remediation of issues resulting from these surveys or approval by the documenting agencies. In addition, water behavior will be analyzed for drain structures and current flow paths of water ways in order to analyze quantity and quality of flow. These waterways will be maintained unless they are otherwise required to be enhanced.",0,25,"Green house gas emissions will be reduced over the course of this project. Trees planted in the park will help to sequester CO2. In addition sustainable practices such as geothermal energy for community buildings will be used to cool the buildings while reducing emissions. Also, by maintaining and promoting the protection of the naturally wooded area of the site, further carbon sinks are to be utilized in order to meet the goal of an ultimately net carbon negative site meaning that the site will extract more green house gases than it emits.",0,20,The team will work directly with the local community to come up with overall design criteria for the site based off site risks and potential site designs. This assessment will account for resiliency o the site and should consider both the needs of the community and modern sustainable practices. This will assess the long term considerations for the project site.,19,15
17,3115,0,16,Restoring and construction a new park and community area would increase jobs in the planning and construction of the facility. It restores the city to what it used to be before the tornadoes hit the town as well. It helps build a bigger sense of community because the brownfield and Main St will bring people together to hang out. ,0,2,The project includes new side walks and bike paths to be built for easier access to the public for use. This encourages the use of these pathways to get around town. Bike lockers and other facilities like bus stop huts can also be installed to help achieve this rating and encourage use of alternative transportation. ,0,14,The new brownfield will preserve the local character and take the industrial land and turn it into something with more character and benefits for the people. The goal is to support the local character that comes from Main St and help people be a part of the community of Cordova. It upgrades what used to be there into something better. ,0,13,The project is taking something that was destroyed in a natural disaster and improving it for people to use in a park every day. The recreational facility helps create a place for people to play and have fun and bike around town. There is also wildlife refugee available in the wooded area behind the park adding to the restorative value.  ,1,0,The project details are not very clear on if this area is protected wetlands and how big of a buffer there needs to be. I was unsure of how to rate it. ,0,"",0,18,The project contains a body of water in a public area where animals and people are going to be running around. It is important to make sure that the water is pollutant free and that it is cleaned and the cleaning process is sustainable. It is also restoring the pond from the what was already there and improving the quality. ,0,15,"The water bodies in this project are restored and maintained from what they used to be. If planned to, it can help maintain and support the sediment transport from the stream to the pond. As well as provides a safe an contaminant free environment for the aquatic species. ",0,25,"Reducing greenhouse gas emissions is an important sustainability movement. By designing this project and planning it to be carbon negative, the gasses will be greatly reduced and improving the environment around the city. The new park and wooded area provide ways to help reduce carbon in the atmosphere and encouraging alternative modes of transportation will reduce emissions. ",1,0,"Greenhouse gasses and climate change are both important to consider when planning, but I wasn't sure how this category fit in. ",25,12
18,14384,0,5,The project team should be able to stimulate sustainable growth and development by implementing green technologies to increase efficiency which will lower operating costs. This will provide a more sustainable way of life for the entire park.,0,11,In order for the project team the encourage alternative modes of transportation they can implement more bike paths throughout the park. If there are sufficient bike paths through the park it will encourage people to not only ride through the park but to ride their bikes to the park as well.,0,14,For the project team to meet the needs of preserving views and local character they must attempt to not change any of the natural appearance that the park has. They must not build anything high rise that could potentially block views and take away from the character of the park. Some sort of monument dealing with the history of the town could be built in order to add to the community character as well.,0,13,This project team could easily meet the restorative level of enhancing public space due to the fact that their project is a park. People love the natural attributes that come with a location such as trees or plants and if these are kept it will immediately enhance the public space. Even more trees and bushes can be planted in order to increase the overall appearance of the park.,0,18,Being how there are no large wetlands near by it is hard to think that this objective could not be completed by the project team. Despite the fact that there are no large wetlands near by the project team can still prepare for and protect what vegetation and water bodies they do have by providing barriers or vegetation where water could by contaminated.,0,"",0,14,"It is possible for the project team to prevent any surface or groundwater contamination, but it is not always as easy as it seems. The team must implement many different drainage systems in order to properly direct run off into a safe area for disposal.",0,15,"In order to maintain wetland and surface water functions the team must once again implement different drainage systems in order to direct the any waste in an opposite direction. They can also make filter type systems so the water can be maintained in the wetland, but also remain clean.",0,25,"It is difficult to reduce greenhouse gas emissions in many sectors of our planet, but this is one area that cannot be ignored. This issue is paramount in our society and can be accomplished in many ways. Being able to find ways of alternate transportation is an easy way to complete this. This can be done by building more bike paths. They can also include renewable energy for any systems they need such as park lights or electricity for bathrooms.",0,20,Using numerous drainage systems the project team should be able to avoid traps and vulnerabilities. By being able to direct water to different areas makes it easy for the community to rebuild in case there is an issue. Since the water is dispersed it will not have a large effect on one specific area and will be easier to control afterwards. ,24,12
19,7464,0,16,"This project created several opportunities for employment not only during planning, pre-construction, construction phases, but also during the operating phase since there will be some workers who will have to maintain the project site. This project can improve the economy of the community because this can attract people from other places.",0,11,"This project promote healthier lifestyle by increasing and adding access to the use of bike lanes and trails for people to use. In this way, there will be less carbon emissions and pollution. If there is less parking spaces available around the area, people will be forced to commute, use their bicycles, or walk to get to the area.",0,14,This project has improved the area as it developed an area where people can do recreational activities. Unproductive buildings were demolished that are not beneficial to the community. New infrastructures were created and built to preserve the local character of the area. This project promotes green spaces.,0,13,The project team incorporated parks in the project area to enhance community livability. The project created open spaces for the community residents where people can interact and socialize with each other. Recreational activities will increase because of the development of walk trails and bike paths.,0,14,Wetlands are created that surrounds the stream. Vegetation is restored in the area. Wetlands are restored because they help improve water quality. Natural habitats for wildlife animals are also provided because there are several green spaces. Vegetation and soil protection zones are also present.,0,"",0,18,The project promotes cleaning existing contaminated areas to help prevent the contamination for getting worse. Filters can be used to filter larger sediments such as fallen leaves and other debris. Regular maintenance people should be working to assure clean surrounding to lessen possible contaminants.,0,19,The project can use water basins to collect storm water runoff and reuse this water for other purposes such as watering the vegetation in the area. The water collected can also be treated to supply water to residential houses in the community. The steep slopes that surrounds the wetland can produce more water runoff into the basin.,0,25,"This project caused a decrease in greenhouse gas emission through use renewable energy such as solar energy specifically the use of solar panels for lighting purposes and additional mode of transportation such as bike paths and trails. Less parking lots mean that people will either walk, carpool or commute, or use bikes.",0,12,The use of sluice gates to control the flow water in the water body to avoid overflowing and flooding that can potentially affect the community residents and cause more damages and expenses once a catastrophe happens. ,26,15
20,3084,0,16,"This site can promote economic activity by creating aesthetically pleasing scenery through urban development and the use of parks and greens space. In addition, the site can upgrade its infrastructure and recreational opportunities to encourage a mixed use community where the community can easily navigate the connected and walkable streets.",0,11,"Trails will be used throughout the community to promote walking, biking and other physical activity. Bike racks will be added outside of commercial and residential areas. Access to local transit will be within walking distance to most residents. Streets will have lower speeds to promote transportation methods other than automobiles.",0,14,"The local character of the area will be maintained through similar planning and aesthetics to Main Street. Additionally, parks and wetlands will be maintained on the site to save the natural appeal of the region. A wildlife refuge is added to the back of the site to maintain environmental heritage and local species. Uniform and vegetated landscape to residential buildings.",0,13,An outdoor gathering center will foster community connectivity. This coupled with the park will allow for recreational activities. The trails will allow for easy access to these facilities. A wildlife refuge restoration project will provide   meaningful ecological restoration. Local regulators will approve the site plans. ,0,14,A wildlife refuge restoration will take place in the back of the site. This will provide a buffer between the residents and the environmental areas. Wetlands will also be restored and maintained. Native plants will be applied to the community and around the wetland buffer.,0,"",0,18,"This site is a brownfield and will restore land that was previously polluted. Several best management practices will be implemented to collect and convey storm water to reduce the volume of water leaving the site. These BMP's will promote infiltration of water and will reduce sediment, pollution, and nutrient levels in the water.",0,19,"The site will restore, maintain, and enhance the wetlands by adding a buffer to filter pollution. The wetlands will not be disturbed. Native vegetation will be used. Floodplains will not be built on to improve safety. Best management practices will reduce the sediment transport levels. Any disturbances to the ecosystem will be fully restored.",0,25,"Overall, the project will be carbon negative. The buildings in the community will use renewable energy sources to reduce fossil fuel energy. Road characteristics will promote walking and biking. In addition, automobile traffic will be greatly reduced. Plants will be used throughout the site to absorb atmospheric carbon.",0,20,This area is vulnerable to tornadoes. Several planned measures will be implemented to provide community shelters and strong infrastructure. The urban planners will meet with local leaders to ensure that this community will be sustainable. A long-term assessment of the design will be evaluated to guarantee a resilient  community.,27,15
21,3878,0,16,"The project team created new jobs through construction and new avenues of community productivity through the open walking space. Providing walkways increased the recreational quality of the area. Finally, the scenic designs of the small ponds, light brush, and wooden bridges give the site an natural feel that improves the aesthetic appeal of the site.",0,11,"Through conducting a traffic study, the park encourages alternative modes of transportation by designating only 67 spaces for vehicle parking, well under the estimated 170 needed. Further promoting pedestrian traffic are wide walkways and biking paths, biking lanes along the roadway, and large sidewalks along the existing road.",0,14,"The project team considered and studied the views pertaining to the neighboring school, church, and homes when designing the overall visual character of the site. Every acre of the site has been improved from maintenance yard to community landscaped public space. This was achieved by demolishing rundown existing buildings on the site.",0,13,"The project team designed riparian and wetland habitat, trails, educational, boardwalks, and public use facilities on site to improve the use of the public space. Site studies have shown that these designs minimize the discharge of pollutants from the local urban area runoff to the waters located on site.",0,18,A VSPZ buffer was adequately designed and implemented for this site to allow for the creation of a marsh habitat in an highly-dense urban community. The project team worked with the city of LA to redesignate the land to be used for Open Space instead of Light Industrial to protect the future site development.,0,"",0,18,The site was designed for complete dry weather runoff retention to minimize the impact on the existing surrounding sites. The ponds were created with a primary geosynthetic clay liner. This liner creates a solid buffer that prevents water loss due to infiltration and prevents infiltration from the ponds into the former Brownfield site. ,0,19,"Because of its location in a highly-dense urban area, the project team designed the wetland to utilize the stormwater runoff from the nearby 63"" storm drain as a resource to sustain the constructed wetland and surrounding riparian and emergent marsh habitat. The project team also designed to monitor surface and groundwater contamination.",0,25,"The project's Environmental Impact Report (EIR) revealed that green house gas (GHG) emissions would be reduced following the implementation of the wetland park design. Furthermore, to ensure the GHG emissions would continue to stay reduced, the team converted the land use designation from Light Industrial to Open Space.",0,20,"The wetlands were designed to act independent of one another in the event that, should the source water to one of the wetlands be significantly reduced, the wetland could be converted to a park without impacting the other two. This was achieved by implementing sluice gates and end caps for orifices. ",29,15
